Food Product,Main Ingredient,Sweetener,Fat/Oil,Seasoning,Allergens,Price ($),Customer rating (Out of 5),Prediction
Pineapple,Pineapple,Maple Syrup,Butter,Salt,None,16.25,4.2,Contains
Sunflower Oil,Sunflower Oil,None,Butter,Pepper,None,48.27,3.2,Contains
Sesame Seeds,Sesame Seeds,None,Butter,Garlic,Sesame Seeds,9.18,2.6,May Contain
Cream,Cream,Sugar,Coconut Oil,Salt,Cream,25.59,2.4,Safe
Blueberries,Blueberries,Sugar,None,Salt,None,22.23,3.3,May Contain
Crab,Crab,Maple Syrup,Olive Oil,Garlic,Crab,38.73,4,May Contain
Veal,Veal,Sugar,None,Salt,None,14.16,4.1,May Contain
Dill,Dill,None,Butter,None,None,20.98,4.6,Contains
Olive Oil,Olive Oil,Maple Syrup,None,Garlic,None,41.77,4.8,Safe
Quail,Quail,None,Olive Oil,Salt,None,15.06,4.1,Safe
Sunflower Oil,Sunflower Oil,None,Butter,Garlic,None,21.03,5,May Contain
Lamb,Lamb,Honey,Butter,Garlic,None,21.09,4.2,May Contain
Blackberry,Blackberry,Honey,Coconut Oil,None,None,30.29,4,Safe
Thyme,Thyme,Sugar,Olive Oil,Pepper,None,12.99,1.7,Safe
Rabbit,Rabbit,Honey,None,Pepper,None,39.83,4.5,Safe
Asparagus,Asparagus,Honey,Coconut Oil,None,None,41.2,3.5,Safe
Cantaloupe,Cantaloupe,Sugar,Olive Oil,Pepper,None,23.33,1.9,Safe
Rabbit,Rabbit,Maple Syrup,None,Pepper,None,5.02,3.3,Safe
Pineapple,Pineapple,Maple Syrup,None,Pepper,None,28.27,1.4,Contains
Quail,Quail,Honey,Coconut Oil,Salt,None,31.19,4.2,Contains
Chia Seeds,Chia Seeds,Maple Syrup,Coconut Oil,Pepper,Chia Seeds,25.8,2.6,Contains
Lentils,Lentils,None,Olive Oil,Garlic,Lentils,10.2,4.2,Contains
Milk,Milk,Maple Syrup,Butter,None,Milk,49.99,1.4,May Contain
Lettuce,Lettuce,None,Olive Oil,Garlic,None,46.31,3.9,Safe
Whey,Whey,Honey,Butter,Salt,Whey,27.93,1.4,May Contain
Rice,Rice,None,Coconut Oil,Pepper,Rice,22.01,4.8,Safe
Pork,Pork,Honey,Coconut Oil,Pepper,None,45.67,1,Safe
Benzoates,Benzoates,Maple Syrup,Olive Oil,Garlic,None,23.96,3.4,Safe
Turmeric,Turmeric,Maple Syrup,None,Garlic,None,24.53,1.1,Safe
Spelt,Spelt,Honey,Coconut Oil,None,Spelt,21.97,2.5,May Contain
Strawberries,Strawberries,Maple Syrup,Olive Oil,Pepper,None,38.98,1.6,Safe
Cheese,Cheese,Honey,Coconut Oil,Pepper,Cheese,25.9,2.7,Safe
Soybeans,Soybeans,Sugar,Coconut Oil,Pepper,Soybeans,42.92,2.3,May Contain
Spelt,Spelt,Maple Syrup,None,None,Spelt,37.06,4.8,Contains
Squid,Squid,None,Butter,Salt,Squid,25.81,4.8,May Contain
Mango,Mango,None,None,Salt,None,21.86,2.5,May Contain
Pork,Pork,Sugar,Butter,Pepper,None,11.57,2.8,Safe
Chicken,Chicken,None,None,None,None,37.06,2.8,Contains
Cream,Cream,Maple Syrup,Olive Oil,None,Cream,41.87,2.6,Contains
Cinnamon,Cinnamon,Maple Syrup,None,Garlic,None,24.6,1.1,Safe
Rosemary,Rosemary,None,Olive Oil,None,None,28.93,1,Contains
Milk,Milk,Sugar,Butter,Garlic,Milk,18.61,1.8,Contains
Cheese,Cheese,Maple Syrup,Butter,Pepper,Cheese,8.18,2.9,May Contain
Aspartame,Aspartame,Honey,None,None,None,17.02,1.1,May Contain
Rye,Rye,Sugar,Olive Oil,Garlic,Rye,44.98,1.9,May Contain
Pumpkin Seeds,Pumpkin Seeds,None,Butter,None,Pumpkin Seeds,36.58,4.9,Safe
Sunflower Oil,Sunflower Oil,Maple Syrup,Olive Oil,None,None,16.35,2.3,May Contain
Spelt,Spelt,Maple Syrup,Olive Oil,None,Spelt,47.61,2.6,Contains
Lobster,Lobster,Sugar,Coconut Oil,None,Lobster,37.25,2.9,Safe
Sulfites,Sulfites,Sugar,Olive Oil,Garlic,None,42.57,4.9,Contains
Whey,Whey,Sugar,None,Garlic,Whey,47.69,3.2,Contains
Ghee,Ghee,Honey,Coconut Oil,Garlic,Ghee,16.45,4.5,Safe
Broccoli,Broccoli,Maple Syrup,Butter,Salt,None,33.23,2.1,Contains
Canola Oil,Canola Oil,Maple Syrup,None,None,None,48.85,1.8,Safe
Fig,Fig,None,None,Pepper,None,8.72,2.2,Safe
Turkey,Turkey,Maple Syrup,Coconut Oil,None,None,13.5,2.1,Contains
Curd,Curd,Honey,Olive Oil,Garlic,Curd,49.88,1.8,Safe
Walnuts,Walnuts,None,Coconut Oil,Garlic,Walnuts,6.35,1.8,Contains
Pomegranate,Pomegranate,None,Coconut Oil,Garlic,None,7.67,2.6,May Contain
Milk,Milk,Maple Syrup,Olive Oil,None,Milk,7.38,1.9,May Contain
Cod,Cod,None,None,Garlic,Cod,35.34,4.9,Contains
Oregano,Oregano,Maple Syrup,None,Garlic,None,30.88,4.5,Safe
Leek,Leek,Maple Syrup,Coconut Oil,Salt,None,6.47,1,May Contain
Strawberries,Strawberries,Maple Syrup,Coconut Oil,Salt,None,45.57,4.2,Safe
Hazelnuts,Hazelnuts,Maple Syrup,None,Garlic,Hazelnuts,25.27,4.8,May Contain
Olive Oil,Olive Oil,Honey,Butter,None,None,10.25,3.7,Contains
Cashews,Cashews,Honey,Butter,Salt,Cashews,24.06,2.3,Contains
Leek,Leek,Sugar,Olive Oil,Pepper,None,15.98,3.5,May Contain
Butter,Butter,None,Coconut Oil,None,Butter,24.63,3.6,Contains
Aspartame,Aspartame,Sugar,None,Garlic,None,11.6,3.7,Safe
Rye,Rye,Maple Syrup,Coconut Oil,Garlic,Rye,43.66,2.8,Contains
Sesame Oil,Sesame Oil,Honey,None,Garlic,None,5.83,2.9,May Contain
Veal,Veal,Sugar,Olive Oil,Pepper,None,37.56,4.5,Safe
Spinach,Spinach,None,Butter,Pepper,None,10.35,3.4,Contains
Canola Oil,Canola Oil,Honey,Coconut Oil,Salt,None,5.06,1.8,Contains
Salmon,Salmon,None,None,Pepper,Salmon,6.54,2.6,May Contain
Rye,Rye,Honey,Coconut Oil,Salt,Rye,19.28,4.8,Safe
Parsnip,Parsnip,Sugar,Butter,Salt,None,10.72,4,Safe
Duck,Duck,Honey,Coconut Oil,Pepper,None,14.15,3.2,Safe
Sodium Benzoate,Sodium Benzoate,Sugar,None,Garlic,None,15.34,3.3,Contains
Ghee,Ghee,None,Olive Oil,Garlic,Ghee,47.32,2.8,May Contain
Cloves,Cloves,None,None,Salt,None,32.83,1.9,Contains
Ginger,Ginger,Maple Syrup,Coconut Oil,Pepper,None,47.44,3.4,Contains
Xanthan Gum,Xanthan Gum,Maple Syrup,Butter,Pepper,None,38.78,4,Contains
Pine Nuts,Pine Nuts,Sugar,None,Pepper,Pine Nuts,13.25,3.6,May Contain
Sulfites,Sulfites,Maple Syrup,None,Salt,None,48,3.1,Contains
Tomato,Tomato,None,Olive Oil,Garlic,None,5.6,3.6,Contains
Benzoates,Benzoates,Maple Syrup,Olive Oil,Salt,None,15.98,4.1,May Contain
Sunflower Seeds,Sunflower Seeds,Sugar,Coconut Oil,None,Sunflower Seeds,11.42,3.6,Contains
Cream,Cream,None,Coconut Oil,Salt,Cream,17.16,1.8,May Contain
Grapeseed Oil,Grapeseed Oil,Honey,None,Pepper,None,27.09,4.2,May Contain
Farro,Farro,Maple Syrup,Coconut Oil,Garlic,Farro,26.58,1.4,Safe
Crab,Crab,None,Olive Oil,Pepper,Crab,14.88,4.1,May Contain
Sunflower Seeds,Sunflower Seeds,Honey,None,Salt,Sunflower Seeds,43.74,1.3,Contains
Duck,Duck,Maple Syrup,Olive Oil,None,None,37.52,1.1,May Contain
Rabbit,Rabbit,Maple Syrup,Olive Oil,Garlic,None,17.3,4,Contains
Basil,Basil,Sugar,None,None,None,13.22,3.4,Safe
Cardamom,Cardamom,None,Coconut Oil,None,None,7.07,2.7,May Contain
Tomato,Tomato,None,Olive Oil,Salt,None,38.19,2.5,Contains
Whey,Whey,Honey,Olive Oil,Salt,Whey,14.73,5,Safe
Veal,Veal,Maple Syrup,Coconut Oil,Salt,None,30.39,1.6,Safe
Farro,Farro,Maple Syrup,Coconut Oil,Garlic,Farro,21.67,3.6,May Contain
Spinach,Spinach,Maple Syrup,Coconut Oil,Pepper,None,28.15,2.1,Safe
Cinnamon,Cinnamon,Honey,None,Pepper,None,14.7,4.1,Contains
Chicken,Chicken,None,Olive Oil,Garlic,None,46.32,3.8,Safe
Curd,Curd,Sugar,Coconut Oil,Pepper,Curd,16.08,4.5,Contains
Rosemary,Rosemary,Sugar,Coconut Oil,Pepper,None,45.82,3.3,Safe
Millet,Millet,Maple Syrup,None,Salt,Millet,49.23,1,Contains
Mussels,Mussels,Maple Syrup,Olive Oil,Pepper,Mussels,17.39,1.9,Contains
Ghee,Ghee,Maple Syrup,Olive Oil,Garlic,Ghee,27.78,2.7,May Contain
Avocado Oil,Avocado Oil,None,Olive Oil,Pepper,None,21.25,3.6,Contains
Avocado Oil,Avocado Oil,Maple Syrup,Olive Oil,Pepper,None,28.27,2.3,Safe
Yogurt,Yogurt,Sugar,Olive Oil,Salt,Yogurt,31.68,2.4,Safe
Soybeans,Soybeans,Sugar,None,Pepper,Soybeans,21.18,3.3,Safe
Sodium Benzoate,Sodium Benzoate,Sugar,Olive Oil,Garlic,None,36.08,3.9,Safe
Crab,Crab,Sugar,Coconut Oil,None,Crab,5.84,4.6,Contains
Grapes,Grapes,Honey,Olive Oil,None,None,48.66,4.6,May Contain
Cumin,Cumin,Sugar,None,Pepper,None,44.98,4.3,Safe
Rosemary,Rosemary,None,Coconut Oil,Garlic,None,45.19,2.3,Contains
Sunflower Oil,Sunflower Oil,Maple Syrup,Olive Oil,None,None,22.23,4.6,Safe
Mussels,Mussels,Honey,None,Pepper,Mussels,12.84,3.5,Contains
Crab,Crab,Sugar,Butter,None,Crab,40.71,3.3,May Contain
Corn,Corn,Sugar,None,Pepper,Corn,11.77,2.5,Contains
Nitrates,Nitrates,Maple Syrup,Coconut Oil,None,None,36.3,4.6,Contains
Beef,Beef,Honey,Coconut Oil,Pepper,None,19.59,3,May Contain
Oysters,Oysters,Sugar,None,Pepper,Oysters,16.59,4.2,Contains
Condensed Milk,Condensed Milk,None,None,None,Condensed Milk,36.27,2.7,May Contain
Turkey,Turkey,Maple Syrup,Coconut Oil,Salt,None,28.6,3.8,May Contain
Cream,Cream,Sugar,Coconut Oil,Salt,Cream,36.41,4,Contains
Sunflower Seeds,Sunflower Seeds,Sugar,Olive Oil,None,Sunflower Seeds,5.53,4.4,May Contain
Crab,Crab,Honey,Coconut Oil,Salt,Crab,9.16,2.7,Safe
Cod,Cod,Maple Syrup,Butter,None,Cod,20.02,3.1,Contains
Pepper,Pepper,Maple Syrup,None,Salt,None,42.07,4.5,May Contain
Lychee,Lychee,Sugar,None,Pepper,None,39.41,2.9,Contains
Watermelon,Watermelon,Sugar,Butter,Salt,None,21.74,3.8,Safe
Millet,Millet,Sugar,Butter,Garlic,Millet,32.76,4.1,Safe
Ginger,Ginger,Sugar,Butter,Pepper,None,6.45,3.2,Contains
Duck,Duck,Maple Syrup,Butter,Pepper,None,42.15,1.9,Contains
Pine Nuts,Pine Nuts,None,Coconut Oil,Salt,Pine Nuts,23.69,4.8,May Contain
Coconut Oil,Coconut Oil,Honey,Coconut Oil,Garlic,None,41.17,2.1,Contains
Condensed Milk,Condensed Milk,Sugar,Butter,None,Condensed Milk,39.35,4.2,May Contain
Okra,Okra,Sugar,Olive Oil,Salt,None,13.87,1.5,Safe
Ghee,Ghee,None,Butter,Salt,Ghee,46.36,2.5,May Contain
Pumpkin Seeds,Pumpkin Seeds,None,Coconut Oil,Garlic,Pumpkin Seeds,9.93,3.7,May Contain
Pistachios,Pistachios,Maple Syrup,None,None,Pistachios,26.92,2.5,Safe
Tuna,Tuna,Sugar,Butter,Salt,Tuna,38.32,3.4,May Contain
Sulfites,Sulfites,Honey,None,None,None,20,2.1,Safe
Radish,Radish,Maple Syrup,Butter,Pepper,None,31.8,3.2,Contains
Turkey,Turkey,None,Butter,Salt,None,25.82,4.4,May Contain
Xanthan Gum,Xanthan Gum,Sugar,Olive Oil,None,None,19.16,4,Safe
Buckwheat,Buckwheat,Maple Syrup,Olive Oil,Salt,Buckwheat,15.82,2.4,Safe
Carrageenan,Carrageenan,Honey,None,Salt,None,31.58,2.8,Contains
Cheese,Cheese,None,Coconut Oil,Garlic,Cheese,9.72,2.1,Contains
Sardines,Sardines,Maple Syrup,Olive Oil,Salt,Sardines,35.1,2.2,Safe
Ginger,Ginger,Honey,Olive Oil,Salt,None,26.55,2.3,Safe
Beef,Beef,Maple Syrup,Butter,Salt,None,8.04,2.4,May Contain
Goat,Goat,None,Coconut Oil,Pepper,None,44.2,4.8,May Contain
Tuna,Tuna,Sugar,None,Salt,Tuna,42.19,2.9,Safe
Oregano,Oregano,Honey,Olive Oil,Salt,None,46.87,2.1,May Contain
Cream,Cream,Maple Syrup,Butter,None,Cream,10.91,2.9,Safe
Lentils,Lentils,Honey,Butter,None,Lentils,21.22,2.6,Safe
Artificial Coloring,Artificial Coloring,None,None,Pepper,None,9.34,3.3,Contains
Farro,Farro,Sugar,Butter,Pepper,Farro,26.5,2.4,Safe
Dill,Dill,Sugar,Butter,None,None,21.36,2.6,Safe
Cream,Cream,None,Coconut Oil,Salt,Cream,43.57,1.5,May Contain
Sardines,Sardines,None,Butter,Garlic,Sardines,36.18,3.8,May Contain
Rabbit,Rabbit,Maple Syrup,Butter,None,None,17.98,1.9,Safe
Veal,Veal,Honey,Coconut Oil,Pepper,None,13.13,4.3,Safe
Pork,Pork,None,None,Garlic,None,34.87,1.3,Contains
Nitrates,Nitrates,None,None,None,None,35.08,4.9,Safe
Pepper,Pepper,Maple Syrup,None,Pepper,None,15.47,4.1,May Contain
Black Beans,Black Beans,Sugar,None,Pepper,Black Beans,13.09,4.9,May Contain
Artificial Coloring,Artificial Coloring,Sugar,Coconut Oil,None,None,38.64,3,Safe
Apple,Apple,Sugar,Coconut Oil,Pepper,None,8.32,3.7,May Contain
Flaxseed Oil,Flaxseed Oil,Sugar,None,None,None,16.5,2.2,Contains
Papaya,Papaya,Maple Syrup,Coconut Oil,None,None,37.97,4.3,Safe
Parsnip,Parsnip,None,None,Pepper,None,23.35,3.8,May Contain
Crab,Crab,Maple Syrup,Olive Oil,Garlic,Crab,44.76,3,Contains
Veal,Veal,Sugar,Coconut Oil,Salt,None,42.98,1.8,Safe
Xanthan Gum,Xanthan Gum,Sugar,Olive Oil,Garlic,None,23.45,1.3,Safe
Goat,Goat,Maple Syrup,Olive Oil,None,None,37.21,2.6,Contains
Parsnip,Parsnip,Sugar,Butter,Pepper,None,6.53,4.8,May Contain
Sunflower Oil,Sunflower Oil,Honey,Butter,None,None,7.16,2.8,May Contain
Curd,Curd,Maple Syrup,None,None,Curd,20.55,1.8,May Contain
Veal,Veal,Honey,Olive Oil,Pepper,None,15.16,3.1,May Contain
Basil,Basil,None,Butter,None,None,24.94,3.6,May Contain
Cantaloupe,Cantaloupe,None,Butter,None,None,7.84,4.7,Contains
Grapeseed Oil,Grapeseed Oil,Honey,Butter,Salt,None,19.29,4.3,Safe
Rosemary,Rosemary,Honey,Olive Oil,None,None,42.98,2.1,Safe
Barley,Barley,Maple Syrup,None,Pepper,Barley,37.12,2.2,May Contain
Avocado Oil,Avocado Oil,None,Coconut Oil,Garlic,None,22.91,4.4,Safe
Curd,Curd,Honey,None,Salt,Curd,15.72,4.7,May Contain
Hemp Seeds,Hemp Seeds,Sugar,Olive Oil,Salt,Hemp Seeds,24.18,2.3,Contains
Canola Oil,Canola Oil,None,None,Garlic,None,19.7,2.5,Contains
Shrimp,Shrimp,Sugar,Butter,Pepper,Shrimp,38.13,1.1,Safe
Rye,Rye,Maple Syrup,Coconut Oil,Pepper,Rye,17.56,1.5,Safe
Cheese,Cheese,Maple Syrup,Olive Oil,Salt,Cheese,36.51,3.1,May Contain
Duck,Duck,Maple Syrup,Butter,Garlic,None,21.08,2.9,Contains
Tuna,Tuna,Maple Syrup,None,Garlic,Tuna,29.34,1.7,May Contain
Peach,Peach,None,Coconut Oil,Garlic,None,23.15,1.4,Contains
Hazelnuts,Hazelnuts,None,Butter,Salt,Hazelnuts,45.81,3.3,Contains
Olive Oil,Olive Oil,Sugar,Butter,Salt,None,49.16,4.6,Contains
Butter,Butter,Maple Syrup,None,Pepper,Butter,23.49,2.8,Safe
Potato,Potato,Sugar,Olive Oil,Salt,None,25.94,1.9,Contains
Grapeseed Oil,Grapeseed Oil,None,Coconut Oil,Garlic,None,43.09,4.8,May Contain
Goat,Goat,Sugar,None,None,None,11.42,2.3,Safe
Soybeans,Soybeans,Sugar,Olive Oil,Salt,Soybeans,34.9,3.6,Contains
Benzoates,Benzoates,Honey,None,Pepper,None,37.5,3.1,Contains
Lobster,Lobster,Honey,None,None,Lobster,17.73,3.3,Contains
Curd,Curd,Honey,Olive Oil,Salt,Curd,29.1,2.1,May Contain
Pepper,Pepper,Sugar,Butter,Salt,None,30.92,3.7,May Contain
Coconut Oil,Coconut Oil,Maple Syrup,Olive Oil,Garlic,None,47.64,4.9,May Contain
Barley,Barley,None,Coconut Oil,Salt,Barley,14.91,3.1,May Contain
Basil,Basil,Maple Syrup,None,None,None,42.01,2.1,Safe
Hazelnuts,Hazelnuts,Maple Syrup,Butter,None,Hazelnuts,39.74,3.5,Safe
Chicken,Chicken,None,Coconut Oil,None,None,13.3,3.7,Contains
Chicken,Chicken,None,Olive Oil,Pepper,None,5.44,2.2,Safe
Hemp Seeds,Hemp Seeds,Honey,None,None,Hemp Seeds,22.83,4.4,Safe
Cottage Cheese,Cottage Cheese,Honey,Olive Oil,Pepper,Cottage Cheese,30.72,1,May Contain
Banana,Banana,Maple Syrup,None,Pepper,None,32.9,2.7,May Contain
Butter,Butter,Honey,Olive Oil,Pepper,Butter,7.02,2.1,Safe
Grapes,Grapes,Sugar,Butter,Pepper,None,13.76,3.7,Safe
Shrimp,Shrimp,None,Butter,Salt,Shrimp,33.23,2.7,Contains
Pork,Pork,Sugar,Coconut Oil,Salt,None,6.41,1.4,Contains
Rabbit,Rabbit,Honey,None,None,None,44.44,2.9,Safe
Cauliflower,Cauliflower,Maple Syrup,None,Garlic,None,37.36,4,Safe
Xanthan Gum,Xanthan Gum,Sugar,Coconut Oil,Garlic,None,31.86,2.7,Safe
Sweet Potato,Sweet Potato,Maple Syrup,Coconut Oil,Pepper,None,29.52,3,Contains
Banana,Banana,Maple Syrup,Coconut Oil,None,None,8.36,2.8,Contains
Kiwi,Kiwi,None,Olive Oil,None,None,29.16,3.9,Contains
Artificial Coloring,Artificial Coloring,Sugar,None,Garlic,None,16.9,1.7,Contains
Pomegranate,Pomegranate,Honey,Olive Oil,None,None,13.23,2,May Contain
Nitrates,Nitrates,None,None,Pepper,None,33.37,4.2,Safe
Sunflower Oil,Sunflower Oil,Maple Syrup,Butter,Salt,None,42.79,2,Safe
Cumin,Cumin,Honey,None,None,None,15.98,4.1,May Contain
Millet,Millet,Sugar,None,None,Millet,18.04,2.8,May Contain
Turmeric,Turmeric,Sugar,Olive Oil,Salt,None,42.11,3.9,May Contain
Pineapple,Pineapple,Honey,Butter,Garlic,None,8.39,4.6,May Contain
Cumin,Cumin,Honey,None,Garlic,None,34.19,4.7,Safe
Chickpeas,Chickpeas,None,Olive Oil,Salt,Chickpeas,21.2,2.7,Contains
Thyme,Thyme,Honey,Butter,Garlic,None,9.49,4.5,Contains
Crab,Crab,None,Olive Oil,Pepper,Crab,27.21,3.4,Contains
Crab,Crab,Honey,Butter,Pepper,Crab,6.46,1.4,Contains
Mushroom,Mushroom,Sugar,Butter,Garlic,None,16.34,5,Safe
Flaxseed Oil,Flaxseed Oil,Honey,Olive Oil,Garlic,None,18.72,2.4,May Contain
Oysters,Oysters,None,Olive Oil,Pepper,Oysters,39.31,4.9,Contains
Cinnamon,Cinnamon,Maple Syrup,Coconut Oil,None,None,28.9,2.1,May Contain
Rosemary,Rosemary,Honey,Coconut Oil,Salt,None,18.4,1,Safe
Wheat,Wheat,Honey,Coconut Oil,Salt,Wheat,12.78,2.6,Contains
MSG,MSG,Sugar,Butter,Pepper,None,36.85,2.2,Safe
Beetroot,Beetroot,Honey,Butter,Pepper,None,17.16,2.3,Contains
Sunflower Oil,Sunflower Oil,Maple Syrup,Butter,Salt,None,23.96,1.3,Contains
MSG,MSG,Sugar,Butter,Garlic,None,32.7,3.7,Safe
Ghee,Ghee,Sugar,Olive Oil,Pepper,Ghee,6.1,3.7,May Contain
Walnuts,Walnuts,Honey,Butter,Salt,Walnuts,12.68,3.9,Contains
Sesame Oil,Sesame Oil,Honey,Olive Oil,Pepper,None,20.95,2.7,Safe
Watermelon,Watermelon,Honey,Olive Oil,Pepper,None,12.25,2.9,Safe
Millet,Millet,Honey,Butter,None,Millet,25.65,3.7,Contains
Chicken,Chicken,Sugar,Coconut Oil,None,None,10,3.6,May Contain
Rabbit,Rabbit,Maple Syrup,None,Salt,None,11.87,2.7,Safe
Chia Seeds,Chia Seeds,Maple Syrup,Coconut Oil,None,Chia Seeds,19.7,2.5,Contains
Pomegranate,Pomegranate,None,Olive Oil,Garlic,None,11.34,3.6,May Contain
Macadamia Nuts,Macadamia Nuts,None,Butter,Pepper,Macadamia Nuts,43.95,4.7,Contains
Xanthan Gum,Xanthan Gum,None,None,None,None,29.09,4.7,Safe
Whey,Whey,None,Butter,None,Whey,10.36,4.9,Safe
Garlic,Garlic,Sugar,None,None,None,40.51,4.6,Safe
Turmeric,Turmeric,None,None,Garlic,None,27.77,3.2,May Contain
Carrageenan,Carrageenan,Maple Syrup,None,Garlic,None,9.01,4.4,Safe
Banana,Banana,None,Butter,None,None,48.42,4.7,Contains
Yogurt,Yogurt,Maple Syrup,None,Garlic,Yogurt,45.19,4.8,May Contain
Bell Pepper,Bell Pepper,Sugar,Coconut Oil,Garlic,None,23.61,3.7,May Contain
Black Beans,Black Beans,None,Coconut Oil,None,Black Beans,25.54,3.6,May Contain
Cinnamon,Cinnamon,None,Coconut Oil,None,None,15.36,4.4,Safe
Peanuts,Peanuts,Maple Syrup,Coconut Oil,Garlic,Peanuts,46.19,2.7,May Contain
Cabbage,Cabbage,Maple Syrup,Coconut Oil,Pepper,None,22.09,4,Contains
Condensed Milk,Condensed Milk,None,None,None,Condensed Milk,45.51,1,Contains
Crab,Crab,Sugar,None,Pepper,Crab,47.27,3.1,May Contain
Cream,Cream,Honey,Olive Oil,Garlic,Cream,25.04,3.2,May Contain
Fig,Fig,None,Coconut Oil,Garlic,None,5.19,3.2,Safe
Crab,Crab,None,Coconut Oil,None,Crab,48.78,1.2,May Contain
Curd,Curd,None,None,Garlic,Curd,11.79,4.7,Safe
Chia Seeds,Chia Seeds,None,Butter,Garlic,Chia Seeds,36.04,3.7,Contains
Grapes,Grapes,Maple Syrup,Coconut Oil,Garlic,None,47.65,1.3,Safe
Aspartame,Aspartame,Honey,Coconut Oil,Pepper,None,38.8,2.9,Safe
Veal,Veal,Sugar,Butter,Garlic,None,45.6,2.4,May Contain
Flaxseed Oil,Flaxseed Oil,Maple Syrup,Coconut Oil,Garlic,None,14.03,4.7,Safe
Salmon,Salmon,Honey,Butter,Salt,Salmon,7.76,3.3,Safe
Tomato,Tomato,Sugar,None,None,None,40.75,4.1,Contains
Potassium Sorbate,Potassium Sorbate,None,Olive Oil,Pepper,None,36.67,2.4,May Contain
Goat,Goat,None,Butter,Salt,None,32.73,2.2,Safe
Carrot,Carrot,Sugar,None,Garlic,None,29.26,3.1,Safe
Sardines,Sardines,Honey,Olive Oil,None,Sardines,28.15,1.7,Contains
Flax Seeds,Flax Seeds,None,Coconut Oil,None,Flax Seeds,11.81,3.7,May Contain
Whey,Whey,None,Olive Oil,None,Whey,30.13,1.5,Safe
Walnuts,Walnuts,Sugar,Coconut Oil,Pepper,Walnuts,26.28,5,Safe
Tuna,Tuna,None,None,Salt,Tuna,41.63,1.1,Safe
Milk,Milk,Sugar,Butter,Garlic,Milk,19.86,4.4,May Contain
Nitrates,Nitrates,Sugar,Butter,Salt,None,35.29,3.1,May Contain
Beetroot,Beetroot,Sugar,None,Garlic,None,33.8,4.1,May Contain
Sulfites,Sulfites,Maple Syrup,Olive Oil,Pepper,None,48.21,4.8,Safe
Spelt,Spelt,Sugar,None,Garlic,Spelt,14.71,4.5,Contains
Barley,Barley,None,None,None,Barley,5.16,4.7,Contains
Sweet Potato,Sweet Potato,Maple Syrup,Butter,None,None,12.38,2.6,Contains
Butter,Butter,None,Olive Oil,Salt,Butter,34.37,1.1,Safe
Yogurt,Yogurt,None,None,Garlic,Yogurt,10.6,3.4,Contains
Corn,Corn,Honey,None,Pepper,Corn,39.93,1.4,May Contain
Oysters,Oysters,None,Coconut Oil,Pepper,Oysters,44.68,2.7,May Contain
Flaxseed Oil,Flaxseed Oil,Sugar,Olive Oil,Garlic,None,27.61,2.1,May Contain
Yogurt,Yogurt,Sugar,Coconut Oil,Garlic,Yogurt,23.38,4.5,May Contain
Radish,Radish,Honey,Butter,Salt,None,15.89,1.7,May Contain
Peas,Peas,Honey,Olive Oil,Garlic,None,10.72,4.8,Contains
Cream,Cream,Sugar,Olive Oil,Pepper,Cream,12.81,3.9,May Contain
Grapeseed Oil,Grapeseed Oil,Maple Syrup,None,Salt,None,41.96,4.9,Safe
Cheese,Cheese,None,Coconut Oil,Garlic,Cheese,37.18,4.7,Contains
Saffron,Saffron,None,None,Garlic,None,46.6,4.2,May Contain
Chia Seeds,Chia Seeds,Sugar,Butter,Pepper,Chia Seeds,29.1,4.8,May Contain
Black Beans,Black Beans,Sugar,Coconut Oil,Garlic,Black Beans,28.07,3.2,Safe
Chia Seeds,Chia Seeds,Sugar,None,None,Chia Seeds,47.79,2,Safe
Oats,Oats,Maple Syrup,None,Salt,Oats,16.12,2.4,May Contain
Pork,Pork,Sugar,Olive Oil,Pepper,None,31.83,1.7,Contains
Lamb,Lamb,None,Coconut Oil,Garlic,None,17.51,2.8,Contains
Veal,Veal,Honey,None,Pepper,None,17.67,4.5,May Contain
Quinoa,Quinoa,None,None,None,Quinoa,7.9,4,May Contain
Rye,Rye,Maple Syrup,Butter,None,Rye,41.99,1.6,May Contain
Parsnip,Parsnip,None,Butter,None,None,7.85,4.2,Contains
Orange,Orange,None,Olive Oil,Pepper,None,29.42,1.7,Safe
Cheese,Cheese,Honey,None,Pepper,Cheese,10.29,1.3,Safe
Lentils,Lentils,Sugar,None,Garlic,Lentils,36.95,1.4,May Contain
Cardamom,Cardamom,None,Butter,None,None,5.41,4.3,Contains
Squid,Squid,Honey,None,Pepper,Squid,46.93,2.2,May Contain
Walnuts,Walnuts,None,Coconut Oil,Garlic,Walnuts,5.61,1.7,Contains
Benzoates,Benzoates,Maple Syrup,Butter,Garlic,None,8.87,2.4,May Contain
Benzoates,Benzoates,Sugar,Butter,Pepper,None,14.84,4.3,Contains
Canola Oil,Canola Oil,Maple Syrup,Olive Oil,Salt,None,46.09,4.3,May Contain
Grapeseed Oil,Grapeseed Oil,Honey,None,None,None,37.56,3.2,Safe
Brazil Nuts,Brazil Nuts,Honey,Coconut Oil,Garlic,Brazil Nuts,14.56,1.5,Safe
Sulfites,Sulfites,None,None,Pepper,None,9.48,1.5,Safe
Shrimp,Shrimp,Sugar,None,Salt,Shrimp,21.71,2.7,May Contain
Sesame Oil,Sesame Oil,None,Butter,Garlic,None,43.57,3.3,Safe
